Release_Date,Title,Overview,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,Poster_Url
2021-12-07,Don't Look Up,Two low-level astronomers must go on a giant media tour to warn humankind of an approaching comet that will destroy planet Earth.,188.404,4819,7.2,en,"Comedy, Drama, Science Fiction",https://image.tmdb.org/t/p/original/th4E1yqsE8DGpAseLiUrI60Hf8V.jpg
2017-06-15,Cars 3,"Blindsided by a new generation of blazing-fast racers, the legendary Lightning McQueen is suddenly pushed out of the sport he loves. To get back in the game, he will need the help of an eager young race technician with her own plan to win, inspiration from the late Fabulous Hudson Hornet, and a few unexpected turns. Proving that #95 isn't through yet will test the heart of a champion on Piston Cup Racing’s biggest stage!",186.621,4416,6.8,en,"Animation, Adventure, Comedy, Family",https://image.tmdb.org/t/p/original/fyy1nDC8wm553FCiBDojkJmKLCs.jpg
2007-05-01,Spider-Man 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villains—including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",186.125,11340,6.3,en,"Fantasy, Action, Adventure",https://image.tmdb.org/t/p/original/qFmwhVUoUSXjkKRmca5yGDEXBIj.jpg
2021-12-03,Last Shoot Out,"Soon after a newlywed learns that her husband had her father shot down, she flees from the Callahan ranch in fear. She's rescued by a gunman who safeguards her at a remote outpost as he staves off her husband's attempts to reclaim his bride.",185.045,92,6.4,en,"Western, Action, Thriller",https://image.tmdb.org/t/p/original/pvEtPxotI3POlVPvNxgrHJuDXfe.jpg
2019-07-21,Sator,"Secluded in a desolate forest, a broken family is observed by Sator, a supernatural entity who is attempting to claim them.",184.487,66,5.4,en,Horror,https://image.tmdb.org/t/p/original/p0OgWKpcRYboZOmuozorfvQt0qL.jpg
2010-04-28,Iron Man 2,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.",183.136,17594,6.8,en,"Adventure, Action, Science Fiction",https://image.tmdb.org/t/p/original/6WBeq4fCfn7AN0o21W9qNcRF2l9.jpg
2020-12-25,Soul,"Joe Gardner is a middle school teacher with a love for jazz music. After a successful audition at the Half Note Club, he suddenly gets into an accident that separates his soul from his body and is transported to the You Seminar, a center in which souls develop and gain passions before being transported to a newborn child. Joe must enlist help from the other souls-in-training, like 22, a soul who has spent eons in the You Seminar, in order to get back to Earth.",182.718,7736,8.2,en,"Animation, Comedy, Fantasy, Family",https://image.tmdb.org/t/p/original/hm58Jw4Lw8OIeECIq5qyPYhAeRJ.jpg
2011-05-14,Pirates of the Caribbean: On Stranger Tides,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",182.133,11712,6.5,en,"Adventure, Action, Fantasy",https://image.tmdb.org/t/p/original/keGfSvCmYj7CvdRx36OdVrAEibE.jpg
2021-02-28,Phobias,"Five dangerous patients, suffering from extreme phobias at a government testing facility, are put to the ultimate test under the supervision of a crazed doctor and his quest to weaponize fear.",181.527,27,5.4,en,"Horror, Thriller",https://image.tmdb.org/t/p/original/zpecci4IooFiwMVGknhm8Jz2FHo.jpg
2021-05-21,A Quiet Place Part II,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize that the creatures that hunt by sound are not the only threats that lurk beyond the sand path.",181.389,3997,7.6,en,"Science Fiction, Thriller, Horror",https://image.tmdb.org/t/p/original/4q2hz2m8hubgvijz8Ez0T2Os2Yv.jpg
1972-10-14,What the Peeper Saw,"A wealthy author's second wife begins to suspect that her 12-year old stepson may have murdered his mother, who mysteriously died in a bathtub accident.",181.317,19,5.7,it,"Horror, Drama, Thriller",https://image.tmdb.org/t/p/original/nlPRui4dWzg33YehRrUojxFJUFk.jpg
2023-04-06,Fast & Furious 10,The tenth installment in the Fast Saga.,181.216,0,0.0,en,"Action, Crime",https://image.tmdb.org/t/p/original/2DyEk84XnbJEdPlGF43crxfdtHH.jpg
2012-07-16,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",179.587,19126,7.8,en,"Action, Crime, Drama, Thriller",https://image.tmdb.org/t/p/original/85cWkCVftiVs0BVey6pxX8uNmLt.jpg
2021-11-26,Trolls Holiday in Harmony,"Queen Poppy plans the first annual Trolls Kingdom Secret Holiday Gift Swap, but things don't go quite as expected.",179.019,102,7.6,en,"Animation, Fantasy, Family",https://image.tmdb.org/t/p/original/z5ge6Cr8lnElNIYU7fn2WoMg7SD.jpg
2016-03-23,Batman v Superman: Dawn of Justice,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",178.212,15596,5.9,en,"Action, Adventure, Fantasy",https://image.tmdb.org/t/p/original/5UsK3grJvtQrtzEgqNlDljJW96w.jpg
2021-09-01,Motherly,"Kate and her daughter Beth live alone in an isolated farmhouse in the woods, but when Kate slowly begins to suspect that something sinister is happening, her motherly instincts are put to the test.",176.378,95,7.2,en,"Thriller, Horror",https://image.tmdb.org/t/p/original/wmh1likQEetSLIUs5MAvfWjEayY.jpg
2021-03-18,Nobody,"Hutch Mansell, a suburban dad, overlooked husband, nothing neighbor — a ""nobody."" When two thieves break into his home one night, Hutch's unknown long-simmering rage is ignited and propels him on a brutal path that will uncover dark secrets he fought to leave behind.",175.065,4292,8.2,en,"Action, Crime, Thriller",https://image.tmdb.org/t/p/original/oBgWY00bEFeZ9N25wWVyuQddbAo.jpg
2018-08-03,My Hero Academia: Two Heroes,"All Might and Deku accept an invitation to go abroad to a floating and mobile manmade city, called 'I-Island', where they research quirks as well as hero supplemental items at the special 'I-Expo' convention that is currently being held on the island. During that time, suddenly, despite an iron wall of security surrounding the island, the system is breached by a villain, and the only ones able to stop him are the students of Class 1-A.",174.756,743,8.0,ja,"Animation, Action, Adventure, Fantasy",https://image.tmdb.org/t/p/original/hC4nTxdhXqFWzgqynGvvXVMiMNp.jpg
2009-07-07,Harry Potter and the Half-Blood Prince,"As Lord Voldemort tightens his grip on both the Muggle and wizarding worlds, Hogwarts is no longer a safe haven. Harry suspects perils may even lie within the castle, but Dumbledore is more intent upon preparing him for the final battle fast approaching. Together they work to find the key to unlock Voldemorts defenses and to this end, Dumbledore recruits his old friend and colleague Horace Slughorn, whom he believes holds crucial information. Even as the decisive showdown looms, romance blossoms for Harry, Ron, Hermione and their classmates. Love is in the air, but danger lies ahead and Hogwarts may never be the same again.",174.697,15861,7.7,en,"Adventure, Fantasy",https://image.tmdb.org/t/p/original/o2j49x3HYJC2VH689rYxmswtSgS.jpg
2022-01-06,Book of Love,"Young, uptight English writer Henry creates a novel that ends up being a resolute failure. He is delighted to find out his book is a surprise hit in Mexico but when he is invited there to promote it, he soon discovers why: his Spanish translator Maria has rewritten his dull book as an erotic novel. Henry is furious, and even more so when his publisher insists he and Maria conduct a book tour across Mexico together. Opposites attract and the chemistry between the couple ensures sparks fly.",174.481,20,5.3,en,"Comedy, Romance",https://image.tmdb.org/t/p/original/aU4cUkmn8CqnBYlYgE2sHlZ2AGy.jpg
2021-08-26,Jurassic Hunt,"Female adventurer Parker joins a crew of male trophy hunters in a remote wilderness park. Their goal: slaughter genetically recreated dinosaurs for sport using rifles, arrows, and grenades. After their guide is killed by raptors, the team tries to escape the park – but the hunters quickly become the hunted. Even worse, the park’s manager suspects Parker of being a spy and sends a hit squad after her. This battle’s about to become primitive!",174.421,180,5.0,en,"Action, Science Fiction, Thriller",https://image.tmdb.org/t/p/original/bZnOioDq1ldaxKfUoj3DenHU7mp.jpg
2021-12-25,American Underdog,"The true story of Kurt Warner, who went from a stockboy at a grocery store to a two-time NFL MVP, Super Bowl champion, and Hall of Fame quarterback.",173.962,54,7.2,en,Drama,https://image.tmdb.org/t/p/original/u3iXpvLPG4DbmuNY9yPjn1Ei54.jpg
2008-07-14,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",173.923,26994,8.5,en,"Drama, Action, Crime, Thriller",https://image.tmdb.org/t/p/original/qJ2tW6WMUDux911r6m7haRef0WH.jpg
2021-02-24,Jujutsu Kaisen 0,"Yuta Okkotsu is a nervous high school student who is suffering from a serious problem—his childhood friend Rika has turned into a curse and won't leave him alone. Since Rika is no ordinary curse, his plight is noticed by Satoru Gojo, a teacher at Jujutsu High, a school where fledgling exorcists learn how to combat curses. Gojo convinces Yuta to enroll, but can he learn enough in time to confront the curse that haunts him?",173.575,21,7.8,ja,"Animation, Action, Adventure, Mystery",https://image.tmdb.org/t/p/original/3pTwMUEavTzVOh6yLN0aEwR7uSy.jpg
2020-07-02,Ava,A black ops assassin is forced to fight for her own survival after a job goes dangerously wrong.,173.205,1917,5.7,en,"Action, Crime, Drama, Thriller",https://image.tmdb.org/t/p/original/qzA87Wf4jo1h8JMk9GilyIYvwsA.jpg
2010-12-03,Three Steps Above Heaven,"Story of two young people who belong to different worlds. It is the chronicle of a love improbable, almost impossible but inevitable dragging in a frantic journey they discover the first great love. Babi is a girl from upper-middle class that is educated in goodness and innocence . Hache is a rebellious boy, impulsive, unconscious, has a appetite for risk and danger embodied in endless fights and illegal motorbike races, the limit of common sense",172.85,2394,7.8,es,"Romance, Drama",https://image.tmdb.org/t/p/original/fcFz2xEZodKOxHDn9DazxPYHDSc.jpg
2021-08-11,Sinkhole,"The average citizen Dong-won and his family move into a house bought after years of hard work. Filled with happiness, he invites his colleagues for a housewarming party, but the heavy rain during the night before creates a gigantic sinkhole, and in a mere minute, it swallows up the whole house and the people inside. Hundreds of meters down the hole, Dong-won, his neighbor Man-su, and the unfortunate guests must find their way out. Rain starts to pour down, filling the sinkhole with water, and they’re running out of time.",172.571,36,7.1,ko,"Comedy, Drama",https://image.tmdb.org/t/p/original/alBxLvZ5LkDRJPw4TX1PgkWLE8a.jpg
2010-05-22,Undisputed III: Redemption,"Russian inmate Boyka, now severely hobbled by the knee injury suffered at the end of Undisputed 2. No longer the feared prison fighter he was, he has declined so far that he is now good only for cleaning toilets. But when a new prison fight tournament begins - an international affair, matching the best fighters from prisons around the globe, enticing them with the promise of freedom for the winner - Boyka must reclaim his dignity and fight for his position in the tournament.",172.362,604,7.5,en,"Action, Thriller",https://image.tmdb.org/t/p/original/g8KB77SPA7SyU8eid6TAEpt9skU.jpg
1995-10-30,Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",171.714,15127,8.0,en,"Animation, Adventure, Family, Comedy",https://image.tmdb.org/t/p/original/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg
2020-10-25,Roald Dahl's The Witches,"In late 1967, a young orphaned boy goes to live with his loving grandma in the rural Alabama town of Demopolis. As the boy and his grandmother encounter some deceptively glamorous but thoroughly diabolical witches, she wisely whisks him away to a seaside resort. Regrettably, they arrive at precisely the same time that the world's Grand High Witch has gathered.",171.361,2092,6.5,en,"Family, Fantasy, Adventure, Comedy, Horror",https://image.tmdb.org/t/p/original/ht6EfsM5hrsUPSR4ReJQFDVU71F.jpg
2021-12-25,El Paseo 6,"The last year High School excursion is the walk where anything can happen, but the last year High School excursion with the parents, that is the last straw. And since Álvaro Castaño knows that security is better than the police, he decides to travel with his family to watch over his daughter Sarita, however, his mother-in-law, Raquel, is not willing to allow it and also embarks in the plan . On the paradisiacal beaches of San Andrés, Álvaro Castaño will become Sara's nightmare and the sensation for the excursion, while his sexy mother-in-law of him will be the one to steal the show. El Paseo 6, the last yeat High School excursion, because the luck of the grandmother, the High School girls wish it.",170.869,5,3.5,es,Comedy,https://image.tmdb.org/t/p/original/f1nHNgR6tQFw2aGe2FXKCOffLjI.jpg
2021-04-30,Separation,A young girl finds solace in her artist father and the ghost of her dead mother.,170.565,127,5.7,en,"Horror, Drama",https://image.tmdb.org/t/p/original/lHbSC2Np17CRsRXIbaE0YY1Hora.jpg
2022-04-22,Dragon Ball Super: Super Hero,"The Red Ribbon Army, an evil organization that was once destroyed by Goku in the past, has been reformed by a group of people who have created new and mightier Androids, Gamma 1 and Gamma 2, and seek vengeance against Goku and his family.",170.551,0,0.0,ja,"Animation, Science Fiction, Action",https://image.tmdb.org/t/p/original/wFYXVMKWLAoazjWTBNQ4IiQSKJg.jpg
2022-08-25,After Ever Happy,"The fourth installment in The After Universe. As a shocking truth about a couple's families emerges, the two lovers discover they are not so different from each other. Tessa is no longer the sweet, simple, good girl she was when she met Hardin — any more than he is the cruel, moody boy she fell so hard for.",169.964,0,0.0,en,Romance,https://image.tmdb.org/t/p/original/vWLyXOFm1C3gnS8ksfqi7gwkijn.jpg
2009-01-22,Brothers,"When his helicopter goes down during his fourth tour of duty in Afghanistan, Marine Sam Cahill is presumed dead. Back home, brother Tommy steps in to look over Sam’s wife, Grace, and two children. Sam’s surprise homecoming triggers domestic mayhem.",169.495,2085,7.1,en,"Drama, Thriller, War",https://image.tmdb.org/t/p/original/ySXRgHCdelVtvUyHcKGpiQKb052.jpg
2001-05-18,Shrek,"It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an unlikely compatriot -- a wisecracking donkey.",169.438,13610,7.7,en,"Animation, Comedy, Fantasy, Adventure, Family",https://image.tmdb.org/t/p/original/iB64vpL3dIObOtMZgX3RqdVdQDc.jpg
2022-02-01,Jackass Forever,"Celebrate the joy of a perfectly executed shot to the groin as Johnny Knoxville, Steve-O and the rest of the gang return alongside some newcomers for one final round of hilarious, wildly absurd and often dangerous displays of stunts and comedy.",169.376,49,7.1,en,"Action, Comedy, Documentary",https://image.tmdb.org/t/p/original/ruHDFumJfW7F2vEqTZEQQ9xT7CA.jpg
2014-10-24,Big Hero 6,"A special bond develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",169.209,13447,7.8,en,"Adventure, Family, Animation, Action, Comedy",https://image.tmdb.org/t/p/original/2mxS4wUimwlLmI1xp6QW6NSU361.jpg
2021-04-02,Monster Pets: A Hotel Transylvania Short,Drac tries out some new monster pets to help occupy Tinkles for playtime.,169.005,295,7.5,en,"Animation, Comedy, Fantasy",https://image.tmdb.org/t/p/original/tuzkEyCPwf5O56fDjGNerIA8hxT.jpg
2015-03-03,Off Course,"Two young Spanish men, with a university education, are tired of unemployment and decide to move to Germany. But soon they will find out that finding a better living is not as easy as they expected.",168.353,254,6.2,es,"Romance, Comedy",https://image.tmdb.org/t/p/original/mhZWzcIvU5ind2q56qDDoDwKZv1.jpg
2014-12-10,The Hobbit: The Battle of the Five Armies,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",168.034,11790,7.3,en,"Action, Adventure, Fantasy",https://image.tmdb.org/t/p/original/xT98tLqatZPQApyRmlPL12LtiWp.jpg
2021-04-01,Major Grom: Plague Doctor,"Igor Grom is a skilled policeman from St. Petersburg, known for his daring nature and uncompromising attitude towards the criminals of all kinds. Incredible strength, analytical mind and integrity – these qualities make Major Grom the perfect policeman. Working tirelessly, he always pushes through, and meets the challenges standing in the way.",168.017,405,6.8,ru,"Action, Adventure",https://image.tmdb.org/t/p/original/wnesEmcq7xdw1Rm1Bn6XEFTkenR.jpg
2021-01-13,Monster Family 2,"To free Baba Yaga and Renfield from the clutches of Monster Hunter Mila Starr, the Wishbone Family once more transforms into a Vampire, Frankenstein's Monster, a Mummy and a Werewolf but when aided by their three pet bats, the Monster Family zooms around the world again to save their friends, make new monstrous acquaintances.",167.912,28,7.1,en,"Animation, Family",https://image.tmdb.org/t/p/original/ypT4MsOuJrrFtlGShj3DrllIHN3.jpg
2021-07-14,Gunpowder Milkshake,"In her turbulent life as a professional assassin, Sam has no choice but to go rogue to save the life of an innocent 8-year-old girl in the middle of the gang war she has unleashed.",167.503,525,6.4,en,"Action, Crime, Thriller",https://image.tmdb.org/t/p/original/5AaKulwpUtkscAokKWtLenGTfVS.jpg
1986-01-18,Beautiful Sisters: Flesh Slave,A maniac breaks into the apartment of two sisters and abuses them sexually and physically until they turn the tables.,167.255,4,4.0,ja,"Crime, Horror",https://image.tmdb.org/t/p/original/6CYAEAbXE6y3wpj1oExL0f3WNq.jpg
2021-01-22,Narco Sub,"A man will become a criminal to save his family.  Director: Shawn Welling  Writer: Derek H. Potts  Stars: Tom Vera, Tom Sizemore, Lee Majors |",166.671,183,6.7,en,"Action, Drama, Crime",https://image.tmdb.org/t/p/original/7p0O4mKYLIhU2E5Zcq9Z3vOZ4e9.jpg
2007-06-28,Harry Potter and the Order of the Phoenix,"The rebellion begins! Lord Voldemort has returned, but the Ministry of Magic is doing everything it can to keep the wizarding world from knowing the truth – including appointing Ministry official Dolores Umbridge as the new Defence Against the Dark Arts professor at Hogwarts. When Umbridge refuses to teach practical defensive magic, Ron and Hermione convince Harry to secretly train a select group of students for the wizarding war that lies ahead. A terrifying showdown between good and evil awaits in this enthralling film version of the fifth novel in J.K. Rowling’s Harry Potter series. Prepare for battle!",166.458,16081,7.7,en,"Adventure, Fantasy, Mystery",https://image.tmdb.org/t/p/original/tRoHysNFsXC2r0JiBL6iNHELut7.jpg
2015-09-09,Legend,"Suave, charming and volatile, Reggie Kray and his unstable twin brother Ronnie start to leave their mark on the London underworld in the 1960s. Using violence to get what they want, the siblings orchestrate robberies and murders while running nightclubs and protection rackets. With police Detective Leonard ""Nipper"" Read hot on their heels, the brothers continue their rapid rise to power and achieve tabloid notoriety.",165.617,2856,6.9,en,"Crime, Thriller",https://image.tmdb.org/t/p/original/4shf5Alq4KWCKqrAAQe0JGJHYp5.jpg
2021-09-14,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,"With Mystery, Inc. on the tail of a strange object in Nowhere, Kansas, the strange hometown of Eustice, Muriel, and Courage, the gang soon find themselves contending with a giant cicada monster and her winged warriors.",165.462,279,8.2,en,"Animation, Comedy, Mystery, Family, Fantasy",https://image.tmdb.org/t/p/original/uIdMpWrQ30SHPINsy7LcPFloyvO.jpg
2021-08-13,Descendants: The Royal Wedding,"Happily-ever-after continues for Auradon's power couple as they prepare to say ""I do"" at an epic celebration with their friends and family, but Hades threatens to ruin it all.",165.257,97,7.0,en,"TV Movie, Animation, Comedy, Family, Drama",https://image.tmdb.org/t/p/original/tK5xU4x7w9npLUYT5xZJ4RvVlsM.jpg
2019-11-20,Frozen II,"Elsa, Anna, Kristoff and Olaf head far into the forest to learn the truth about an ancient mystery of their kingdom.",164.81,8052,7.3,en,"Family, Animation, Adventure, Comedy, Fantasy",https://image.tmdb.org/t/p/original/mINJaa34MtknCYl5AjtNJzWj8cD.jpg
2021-08-13,Swim,"A family gets trapped in their storm flooded vacation rental, tries to escape from a hungry shark that made it's way into the house.",164.687,27,7.5,en,"Horror, Action",https://image.tmdb.org/t/p/original/pBSqH6avxduNAnXhyIkcAfcUMJ0.jpg
2021-08-27,Mutation on Mars,"In the near future, the Earth’s resources are gradually getting scarce. In order to continue the hope of survival for generations of children and grandchildren, top scientists from various countries have brought several species of animals and plants to Mars for research, hoping to improve the Martian environment through advanced science and technology to make it suitable for human habitation.",164.623,22,6.6,zh,"Drama, Science Fiction",https://image.tmdb.org/t/p/original/h4HcBZC8XMuSFBNxWu7qd34tFDI.jpg
2021-09-03,Zone 414,"In the near future on a colony of state-of-the-art robots, a private investigator is hired by the colony's creator to bring his missing daughter home.",164.567,151,5.5,en,"Science Fiction, Thriller, Mystery",https://image.tmdb.org/t/p/original/bJIq2UwwrrVP033Mk3G5paUwYnp.jpg
2011-07-07,Harry Potter and the Deathly Hallows: Part 2,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",163.782,16964,8.1,en,"Fantasy, Adventure",https://image.tmdb.org/t/p/original/da22ZBmrDOXOCDRvr8Gic8ldhv4.jpg
2015-04-22,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",163.611,19473,7.3,en,"Action, Adventure, Science Fiction",https://image.tmdb.org/t/p/original/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg
2017-10-24,Thor: Ragnarok,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of a powerful new threat, the ruthless Hela.",163.564,17313,7.6,en,"Action, Adventure, Fantasy, Science Fiction",https://image.tmdb.org/t/p/original/rzRwTcFvttcN1ZpX2xv4j3tSdJu.jpg
2019-09-04,It Chapter Two,"27 years after overcoming the malevolent supernatural entity Pennywise, the former members of the Losers' Club, who have grown up and moved away from Derry, are brought back together by a devastating phone call.",162.984,6739,6.9,en,"Horror, Fantasy",https://image.tmdb.org/t/p/original/zfE0R94v1E8cuKAerbskfD3VfUt.jpg
1994-06-23,The Lion King,"A young lion prince is cast out of his pride by his cruel uncle, who claims he killed his father. While the uncle rules with an iron paw, the prince grows up beyond the Savannah, living by a philosophy: No worries for the rest of your days. But when his past comes to haunt him, the young prince must decide his fate: Will he remain an outcast or face his demons and become what he needs to be?",162.049,15064,8.3,en,"Family, Animation, Drama",https://image.tmdb.org/t/p/original/sKCr78MXSLixwmZ8DyJLrpMsd15.jpg
2021-11-18,King Richard,"The story of how Richard Williams served as a coach to his daughters Venus and Serena, who will soon become two of the most legendary tennis players in history.",161.55,845,8.0,en,"Drama, History",https://image.tmdb.org/t/p/original/2dfujXrxePtYJPiPHj1HkAFQvpu.jpg
2021-10-21,Last Night in Soho,"A young girl, passionate about fashion design, is mysteriously able to enter the 1960s where she encounters her idol, a dazzling wannabe singer. But 1960s London is not what it seems, and time seems to be falling apart with shady consequences.",161.493,1360,7.5,en,"Thriller, Horror, Mystery",https://image.tmdb.org/t/p/original/9BzKsxBZNlqyGSpvPFqK9kTJSPV.jpg
1992-06-19,Batman Returns,"While Batman deals with a deformed man calling himself the Penguin, an employee of a corrupt businessman transforms into the Catwoman.",161.321,5075,6.9,en,"Action, Fantasy",https://image.tmdb.org/t/p/original/mnihMYFydSUDm5LMnavkaaZqYKp.jpg
2010-06-23,The Twilight Saga: Eclipse,"Bella once again finds herself surrounded by danger as Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob, knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. With her graduation quickly approaching, Bella is confronted with the most important decision of her life.",161.157,7381,6.2,en,"Adventure, Fantasy, Drama, Romance",https://image.tmdb.org/t/p/original/3mFM80dPzSqoXXuC2UMvLIRWX32.jpg
2021-09-03,Wild Indian,"Decades after covering up his classmate’s murder, Michael has moved on from his reservation and fractured past. When a man who shares his violent secret seeks vengeance, Michael goes to great lengths to protect his new life with his wife and boss from the demons of his past.",161.074,21,6.4,en,"Crime, Drama, Thriller",https://image.tmdb.org/t/p/original/yhOpkNvgW1ZzmEpR4iqxKwKKShL.jpg
2012-03-01,Project X,"Three high school seniors throw a party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads.",160.9,5048,6.8,en,Comedy,https://image.tmdb.org/t/p/original/lUPDGT3lyRrq8SvWuNWG2DP64bR.jpg
2021-08-19,The Protégé,"Rescued as a child by the legendary assassin Moody and trained in the family business, Anna is the world’s most skilled contract killer. When Moody, the man who was like a father to her and taught her everything she needs to know about trust and survival, is brutally killed, Anna vows revenge. As she becomes entangled with an enigmatic killer whose attraction to her goes way beyond cat and mouse, their confrontation turns deadly and the loose ends of a life spent killing will weave themselves ever tighter.",160.697,531,6.6,en,Action,https://image.tmdb.org/t/p/original/o9FY8N5c8CXf22q8s4CmRRjAQJx.jpg
2021-11-05,Ida Red,"Ida Red may not survive her 20-year prison sentence for armed robbery. She turns to her son, Wyatt, for one last job and a chance to regain her freedom.",160.579,25,5.9,en,"Crime, Thriller, Drama, Action",https://image.tmdb.org/t/p/original/etMxKseW67499tUJonLNHXTF538.jpg
2013-01-14,The Haunting of Helena,"After a divorce, Sophia moves to the south of Italy with her daughter, Helena. Their new home, an apartment within an austere building of the fascist age, is a chance for them to start a new life. But inside an old storage room hides a mysterious closet and a buried secret. After the loss of Helena’s first baby tooth, a chilling obsession begins and an apparition haunts her sleep...",159.578,119,5.6,en,"Horror, Thriller",https://image.tmdb.org/t/p/original/iB8rf8FYHGlrbmLybCo6Mpg8hNt.jpg
2020-09-30,Vanguard,Covert security company Vanguard is the last hope of survival for an accountant after he is targeted by the world's deadliest mercenary organization.,159.416,395,6.3,zh,"Action, Adventure, Crime",https://image.tmdb.org/t/p/original/mKvw1Ic9enfFlCPBNJGiejRPMUO.jpg
2003-07-09,Pirates of the Caribbean: The Curse of the Black Pearl,"Jack Sparrow, a freewheeling 18th-century pirate, quarrels with a rival pirate bent on pillaging Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her.",159.245,17095,7.8,en,"Adventure, Fantasy, Action",https://image.tmdb.org/t/p/original/z8onk7LV9Mmw6zKz4hT6pzzvmvl.jpg
2021-07-07,"The Simpsons: The Good, the Bart, and the Loki",Loki is banished from Asgard once again and must face his toughest opponents yet: the Simpsons and Springfield’s mightiest heroes. The God of Mischief teams up with Bart Simpson in the ultimate crossover event paying tribute to the Marvel Cinematic Universe of superheroes and villains.,159.137,510,7.5,en,"Animation, Comedy, Family",https://image.tmdb.org/t/p/original/rtMdtzywcAGOrF6t8fbxJBqpdcq.jpg
2021-01-15,The Marksman,"Jim Hanson’s quiet life is suddenly disturbed by two people crossing the US/Mexico border – a woman and her young son – desperate to flee a Mexican cartel. After a shootout leaves the mother dead, Jim becomes the boy’s reluctant defender. He embraces his role as Miguel’s protector and will stop at nothing to get him to safety, as they go on the run from the relentless assassins.",158.638,1118,7.0,en,"Action, Thriller, Crime",https://image.tmdb.org/t/p/original/6vcDalR50RWa309vBH1NLmG2rjQ.jpg
